medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team
,Gold Medal,1,EVENEPOEL Remco,Male,BEL,Belgium,Belgium,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,2000-01-25,1903136,
2024-07-27,,2,GANNA Filippo,Male,ITA,Italy,Italy,Italy,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1996-07-25,1923520,
2024-07-27,Bronze Medal,,van AERT Wout,Male,BEL,Belgium,Belgium,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1994-09-15,1903147,
2024-07-27,Gold Medal,1,,Female,AUS,Australia,Australia,Australia,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1992-07-07,1940173,
2024-07-27,Silver Medal,2,HENDERSON Anna,,GBR,Great Britain,Great Britain,Great Britain,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1998-11-14,1912525,
2024-07-27,Bronze Medal,3,DYGERT Chloe,Female,,United States,United States of America,United States,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1997-01-01,1955079,
2024-07-27,Gold Medal,1,OH Sanguk,Male,KOR,,Republic of Korea,Korea,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1996-09-30,1927149,
2024-07-27,Silver Medal,2,FERJANI Fares,Male,TUN,Tunisia,,Tunisia,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1997-07-22,1937783,
2024-07-27,Bronze Medal,3,SAMELE Luigi,Male,ITA,Italy,Italy,,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,1987-07-25,1924595,
2024-07-27,Gold Medal,1,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China","Hong Kong, China","Hong Kong, China",,,,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1994-02-08,1963262,
2024-07-27,Silver Medal,2,MALLO-BRETON Auriane,Female,FRA,France,France,France,,,Fencing,,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1993-10-11,1916183,
2024-07-27,Bronze Medal,3,MUHARI Eszter,Female,HUN,Hungary,Hungary,Hungary,,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--,2002-09-30,1946375,
2024-07-27,Gold Medal,1,SMETOV Yeldos,Male,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,,,Judo,Men -60 kg,HATH,,1992-09-09,1935408,
2024-07-27,Silver Medal,2,MKHEIDZE Luka,Male,FRA,France,France,France,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,,1891304,
2024-07-27,Bronze Medal,3,NAGAYAMA Ryuju,Male,JPN,Japan,Japan,Japan,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000100--,1996-04-15,,
2024-07-27,Bronze Medal,3,GARRIGOS Francisco,Male,ESP,Spain,Spain,Spain,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000200--,1994-12-09,1563544,
2024-07-27,Gold Medal,1,TSUNODA Natsumi,Female,JPN,Japan,Japan,Japan,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1992-08-06,1896735,
2024-07-27,Silver Medal,2,BAVUUDORJ Baasankhuu,Female,MGL,Mongolia,Mongolia,Mongolia,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1999-11-26,1914467,
2024-07-27,Bronze Medal,3,BOUKLI Shirine,Female,FRA,France,France,France,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1999-01-24,1891280,
